id,category_code,name
323,323,Mac Support
324,324,MP3/MIDI
325,325,Net Conferencing
326,326,Net for Beginners
327,327,Network Security
328,328,Palmtops/PDAs
329,329,PC Support
330,330,Portable
331,331,Entertainment
332,332,Shareware/Freeware
333,333,Unix
334,334,Visual Basic
335,335,Web Clip Art
336,336,Web Design/HTML
337,337,Web Search
338,338,Windows
339,339,Travel
340,340,Adventure Travel
341,341,Africa
342,342,Air Travel
343,343,Australia & New Zealand
344,344,Bed & Breakfasts
345,345,Budget Travel
346,346,Business Travel
347,347,By US Locale
348,348,Camping
349,349,Canada
350,350,Caribbean
351,351,Cruises
352,352,Eastern Europe
353,353,Europe
354,354,France
355,355,Greece
356,356,Honeymoons/Getaways
357,357,Hotels
358,358,Italy
359,359,Japan
360,360,Mexico & Central America
361,361,National Parks
362,362,South America
363,363,Spas
364,364,Theme Parks
365,365,Traveling with Kids
366,366,United Kingdom
367,367,Real Estate
368,368,Apartments
369,369,Architects
370,370,Buying/Selling Homes
371,371,Shopping
372,372,Contests & Freebies
373,373,Couponing
374,374,Comparison
375,375,Engines
376,376,Religion & Spirituality
377,377,Alternative Religions
378,378,Atheism/Agnosticism
379,379,Buddhism
380,380,Catholicism
381,381,Christianity
382,382,Hinduism
383,383,Islam
384,384,Judaism
385,385,Latter-Day Saints
386,386,Pagan/Wiccan
387,387,Uncategorized
388,388,Non-Standard Content
389,389,Unmoderated UGC
390,390,Extreme Graphic/Explicit Violence
391,391,Pornography
392,392,Profane Content
393,393,Hate Content
394,394,Under Construction
395,395,Incentivized
396,396,Illegal Content
397,397,Illegal Content
398,398,Warez
399,399,Spyware/Malware
400,400,Copyright Infringement
